market_code,target_year,target_month,target_sales
MKT_APAC_SG,2023,7,404439.33
MKT_APAC_JP,2023,7,567109.65
MKT_LATAM_BR,2023,7,332217.62
MKT_ME_DB,2023,7,357448.51
MKT_NA_E,2023,8,812504.88
MKT_NA_W,2023,8,735847.98
MKT_EU_C,2023,8,640333.96
MKT_EU_UK,2023,8,520401.75
MKT_IN_N,2023,8,456026.65
MKT_IN_S,2023,8,497843.15
MKT_APAC_SG,2023,8,399268.81
MKT_APAC_JP,2023,8,589120.36
MKT_LATAM_BR,2023,8,331529.65
MKT_ME_DB,2023,8,384535.85
MKT_NA_E,2023,9,888299.8
MKT_NA_W,2023,9,803324.54
MKT_EU_C,2023,9,712727.94
MKT_EU_UK,2023,9,586128.69
MKT_IN_N,2023,9,490455.07
MKT_IN_S,2023,9,560804.89
MKT_APAC_SG,2023,9,433702.92
MKT_APAC_JP,2023,9,613693.77
MKT_LATAM_BR,2023,9,377583.15
MKT_ME_DB,2023,9,398204.14
MKT_NA_E,2023,10,908690.78
MKT_NA_W,2023,10,812490.52
MKT_EU_C,2023,10,763224.59
MKT_EU_UK,2023,10,609404.48
MKT_IN_N,2023,10,519717.1
MKT_IN_S,2023,10,571092.62
MKT_APAC_SG,2023,10,451310.88
MKT_APAC_JP,2023,10,677731.18
MKT_LATAM_BR,2023,10,384192.29
MKT_ME_DB,2023,10,422725.71
MKT_NA_E,2023,11,995110.11
MKT_NA_W,2023,11,890622.9
MKT_EU_C,2023,11,824726.05
MKT_EU_UK,2023,11,657502.83
MKT_IN_N,2023,11,575840.48
MKT_IN_S,2023,11,601221.2
MKT_APAC_SG,2023,11,489981.05
MKT_APAC_JP,2023,11,711342.53
MKT_LATAM_BR,2023,11,423627.82
MKT_ME_DB,2023,11,462292.9
MKT_NA_E,2023,12,1088511.67
MKT_NA_W,2023,12,930486.02
MKT_EU_C,2023,12,872515.0
MKT_EU_UK,2023,12,675056.1
MKT_IN_N,2023,12,603315.52
MKT_IN_S,2023,12,662892.29
MKT_APAC_SG,2023,12,516899.76
MKT_APAC_JP,2023,12,758873.69
MKT_LATAM_BR,2023,12,432291.55
MKT_ME_DB,2023,12,492889.58
MKT_NA_E,2024,1,822649.06
MKT_NA_W,2024,1,725469.05
MKT_EU_C,2024,1,648828.62
MKT_EU_UK,2024,1,508326.46
MKT_IN_N,2024,1,457088.29
MKT_IN_S,2024,1,498997.51
MKT_APAC_SG,2024,1,388844.48
MKT_APAC_JP,2024,1,575288.1
MKT_LATAM_BR,2024,1,322913.32
MKT_ME_DB,2024,1,368878.16
MKT_NA_E,2024,2,825714.28
MKT_NA_W,2024,2,726092.31
MKT_EU_C,2024,2,655494.71
MKT_EU_UK,2024,2,547160.16
MKT_IN_N,2024,2,465432.96
MKT_IN_S,2024,2,494916.47
MKT_APAC_SG,2024,2,400307.17
MKT_APAC_JP,2024,2,583960.96
MKT_LATAM_BR,2024,2,343271.14
MKT_ME_DB,2024,2,381716.4
MKT_NA_E,2024,3,922290.29
MKT_NA_W,2024,3,806880.62
MKT_EU_C,2024,3,718195.15
MKT_EU_UK,2024,3,593497.0
MKT_IN_N,2024,3,510850.8
MKT_IN_S,2024,3,544500.13
MKT_APAC_SG,2024,3,437739.93
MKT_APAC_JP,2024,3,651600.14
MKT_LATAM_BR,2024,3,365526.37
MKT_ME_DB,2024,3,411557.53
MKT_NA_E,2024,4,885206.42
MKT_NA_W,2024,4,772724.96
MKT_EU_C,2024,4,704720.5
MKT_EU_UK,2024,4,558760.72
MKT_IN_N,2024,4,492311.76
MKT_IN_S,2024,4,527918.49
MKT_APAC_SG,2024,4,430598.1
MKT_APAC_JP,2024,4,610237.81
MKT_LATAM_BR,2024,4,353893.46
MKT_ME_DB,2024,4,394849.95
MKT_NA_E,2024,5,923296.22
MKT_NA_W,2024,5,828473.22
MKT_EU_C,2024,5,736858.38
MKT_EU_UK,2024,5,594592.6
MKT_IN_N,2024,5,508790.62
MKT_IN_S,2024,5,552884.73
MKT_APAC_SG,2024,5,451053.35
MKT_APAC_JP,2024,5,650145.25
MKT_LATAM_BR,2024,5,372110.55
MKT_ME_DB,2024,5,420595.83
MKT_NA_E,2024,6,948261.65
MKT_NA_W,2024,6,823630.91
MKT_EU_C,2024,6,727390.36
MKT_EU_UK,2024,6,598399.89
MKT_IN_N,2024,6,525735.02
MKT_IN_S,2024,6,564009.42
MKT_APAC_SG,2024,6,467223.58
MKT_APAC_JP,2024,6,655765.67
MKT_LATAM_BR,2024,6,386797.02
MKT_ME_DB,2024,6,425596.47
MKT_NA_E,2024,7,888633.19
MKT_NA_W,2024,7,763701.95
MKT_EU_C,2024,7,684197.97
MKT_EU_UK,2024,7,556810.39
MKT_IN_N,2024,7,481642.09
MKT_IN_S,2024,7,519369.0
MKT_APAC_SG,2024,7,432045.13
MKT_APAC_JP,2024,7,602378.79
MKT_LATAM_BR,2024,7,360498.03
MKT_ME_DB,2024,7,406638.9
MKT_NA_E,2024,8,891335.24
MKT_NA_W,2024,8,763208.54
MKT_EU_C,2024,8,715117.32
MKT_EU_UK,2024,8,562593.07
MKT_IN_N,2024,8,500339.05
MKT_IN_S,2024,8,547553.25
MKT_APAC_SG,2024,8,437984.89
MKT_APAC_JP,2024,8,640014.96
MKT_LATAM_BR,2024,8,370122.25
MKT_ME_DB,2024,8,399408.71
MKT_NA_E,2024,9,955854.2
MKT_NA_W,2024,9,840409.72
MKT_EU_C,2024,9,780744.43
MKT_EU_UK,2024,9,609725.99
MKT_IN_N,2024,9,529476.91
MKT_IN_S,2024,9,573918.77
MKT_APAC_SG,2024,9,470339.93
MKT_APAC_JP,2024,9,698529.51
MKT_LATAM_BR,2024,9,400183.23
MKT_ME_DB,2024,9,448967.99
MKT_NA_E,2024,10,985721.58
MKT_NA_W,2024,10,864925.71
MKT_EU_C,2024,10,797386.84
MKT_EU_UK,2024,10,652565.51
MKT_IN_N,2024,10,564789.85
MKT_IN_S,2024,10,635013.95
MKT_APAC_SG,2024,10,491549.8
MKT_APAC_JP,2024,10,728270.17
MKT_LATAM_BR,2024,10,406172.25
MKT_ME_DB,2024,10,451236.9
MKT_NA_E,2024,11,1082703.57
MKT_NA_W,2024,11,960217.01
MKT_EU_C,2024,11,876286.62
MKT_EU_UK,2024,11,686273.31
MKT_IN_N,2024,11,623131.76
MKT_IN_S,2024,11,680545.81
MKT_APAC_SG,2024,11,521926.13
MKT_APAC_JP,2024,11,753087.4
MKT_LATAM_BR,2024,11,447594.17
MKT_ME_DB,2024,11,494516.23
MKT_NA_E,2024,12,1154118.33
MKT_NA_W,2024,12,1019693.91
MKT_EU_C,2024,12,933185.2
MKT_EU_UK,2024,12,737170.84
MKT_IN_N,2024,12,663882.65
MKT_IN_S,2024,12,693464.51
MKT_APAC_SG,2024,12,570011.63
MKT_APAC_JP,2024,12,806541.13
MKT_LATAM_BR,2024,12,474445.65
MKT_ME_DB,2024,12,512607.68
MKT_NA_E,2025,1,891633.63
MKT_NA_W,2025,1,747190.39
MKT_EU_C,2025,1,705086.64
MKT_EU_UK,2025,1,565668.15
MKT_IN_N,2025,1,483064.82
MKT_IN_S,2025,1,517477.26
MKT_APAC_SG,2025,1,422044.25
MKT_APAC_JP,2025,1,614390.65
MKT_LATAM_BR,2025,1,349917.16
MKT_ME_DB,2025,1,395926.78
MKT_NA_E,2025,2,897482.88
MKT_NA_W,2025,2,781586.49
MKT_EU_C,2025,2,690012.7
MKT_EU_UK,2025,2,566899.79
MKT_IN_N,2025,2,494586.95
MKT_IN_S,2025,2,554593.4
MKT_APAC_SG,2025,2,427198.25
MKT_APAC_JP,2025,2,616381.0
MKT_LATAM_BR,2025,2,360238.1
MKT_ME_DB,2025,2,414275.07
MKT_NA_E,2025,3,971485.71
MKT_NA_W,2025,3,868146.6
MKT_EU_C,2025,3,759008.42
MKT_EU_UK,2025,3,610788.56
MKT_IN_N,2025,3,536654.31
MKT_IN_S,2025,3,578686.3
MKT_APAC_SG,2025,3,470741.99
MKT_APAC_JP,2025,3,667438.59
MKT_LATAM_BR,2025,3,387367.33
MKT_ME_DB,2025,3,451136.25
MKT_NA_E,2025,4,942041.66
MKT_NA_W,2025,4,842579.08
MKT_EU_C,2025,4,768297.49
MKT_EU_UK,2025,4,603887.25
MKT_IN_N,2025,4,527966.55
MKT_IN_S,2025,4,566304.18
MKT_APAC_SG,2025,4,460132.62
MKT_APAC_JP,2025,4,652164.55
MKT_LATAM_BR,2025,4,386625.25
MKT_ME_DB,2025,4,428175.0
MKT_NA_E,2025,5,991799.85
MKT_NA_W,2025,5,890327.87
MKT_EU_C,2025,5,799900.02
MKT_EU_UK,2025,5,641970.16
MKT_IN_N,2025,5,540960.09
MKT_IN_S,2025,5,593389.23
MKT_APAC_SG,2025,5,492295.09
MKT_APAC_JP,2025,5,711055.18
MKT_LATAM_BR,2025,5,408122.31
MKT_ME_DB,2025,5,439391.11
MKT_NA_E,2025,6,1021696.49
MKT_NA_W,2025,6,904513.75
MKT_EU_C,2025,6,808256.79
MKT_EU_UK,2025,6,661033.25
MKT_IN_N,2025,6,556867.75
MKT_IN_S,2025,6,615964.07
MKT_APAC_SG,2025,6,495221.47
MKT_APAC_JP,2025,6,700470.53
MKT_LATAM_BR,2025,6,426467.7
MKT_ME_DB,2025,6,459672.86
MKT_NA_E,2025,7,944315.29
MKT_NA_W,2025,7,840815.6
MKT_EU_C,2025,7,740137.81
MKT_EU_UK,2025,7,596422.07
MKT_IN_N,2025,7,517772.6
MKT_IN_S,2025,7,553556.3
MKT_APAC_SG,2025,7,448648.12
MKT_APAC_JP,2025,7,650771.68
MKT_LATAM_BR,2025,7,381536.25
MKT_ME_DB,2025,7,429404.38
MKT_NA_E,2025,8,940906.33
MKT_NA_W,2025,8,848254.16
MKT_EU_C,2025,8,736197.89
MKT_EU_UK,2025,8,597341.69
MKT_IN_N,2025,8,526587.02
MKT_IN_S,2025,8,565727.46
MKT_APAC_SG,2025,8,475360.44
MKT_APAC_JP,2025,8,682789.12
MKT_LATAM_BR,2025,8,397358.62
MKT_ME_DB,2025,8,421304.87
MKT_NA_E,2025,9,1058244.37
MKT_NA_W,2025,9,911415.92
MKT_EU_C,2025,9,806086.44
MKT_EU_UK,2025,9,670641.15
MKT_IN_N,2025,9,588941.8
MKT_IN_S,2025,9,633302.74
MKT_APAC_SG,2025,9,509781.03
MKT_APAC_JP,2025,9,711139.07
MKT_LATAM_BR,2025,9,420341.76
MKT_ME_DB,2025,9,464503.43
MKT_NA_E,2025,10,1070805.78
MKT_NA_W,2025,10,978868.21
MKT_EU_C,2025,10,866884.08
MKT_EU_UK,2025,10,681961.63
MKT_IN_N,2025,10,617258.16
MKT_IN_S,2025,10,675436.04
MKT_APAC_SG,2025,10,542665.61
MKT_APAC_JP,2025,10,756906.62
MKT_LATAM_BR,2025,10,433568.42
MKT_ME_DB,2025,10,494892.75
MKT_NA_E,2025,11,1144261.68
MKT_NA_W,2025,11,1047629.22
MKT_EU_C,2025,11,909196.95
MKT_EU_UK,2025,11,773033.91
MKT_IN_N,2025,11,662846.93
MKT_IN_S,2025,11,696998.3
MKT_APAC_SG,2025,11,589819.83
MKT_APAC_JP,2025,11,811023.6
MKT_LATAM_BR,2025,11,484984.52
MKT_ME_DB,2025,11,531125.16
MKT_NA_E,2025,12,1231205.84
MKT_NA_W,2025,12,1085687.34
MKT_EU_C,2025,12,983443.49
MKT_EU_UK,2025,12,780496.12
MKT_IN_N,2025,12,683079.89
MKT_IN_S,2025,12,758495.84
MKT_APAC_SG,2025,12,617999.53
MKT_APAC_JP,2025,12,851025.74
MKT_LATAM_BR,2025,12,494400.72
MKT_ME_DB,2025,12,574751.87
